spark.executor.memory	2048m
spark.executor.instances	12
spark.driver.memory	2048m
spark.eventLog.enabled	false
spark.serializer	org.apache.spark.serializer.KryoSerializer
spark.kryo.classesToRegister	org.apache.hadoop.hive.ql.io.HiveKey,org.apache.hadoop.io.BytesWritable,org.apache.hadoop.hive.ql.exec.vector.VectorizedRowBatch
spark.driver.extraJavaOptions	-Xss8m
spark.executor.extraJavaOptions	-Xss8m
10	181.57	575.0733333333334
10	240.35000000000002	575.0733333333334
10	242.65	575.0733333333334
10	242.70000000000002	575.0733333333334
10	299.46	575.0733333333334
10	366.78000000000003	575.0733333333334
10	392.13	575.0733333333334
10	449.59000000000003	575.0733333333334
10	743.23	575.0733333333334
10	1460.1300000000003	575.0733333333334
10	1690.9799999999998	575.0733333333334
13	41.79	257.2575
13	129.77	257.2575
13	132.37	257.2575
13	133.0	257.2575
13	158.39999999999998	257.2575
13	168.66	257.2575
13	228.62	257.2575
13	325.55	257.2575
13	366.46000000000004	257.2575
13	507.69000000000005	257.2575
13	659.1700000000001	257.2575
16	27.32	263.70666666666665
16	75.85	263.70666666666665
16	104.67	263.70666666666665
16	122.26	263.70666666666665
16	172.14	263.70666666666665
16	188.56000000000003	263.70666666666665
16	211.85	263.70666666666665
16	308.96	263.70666666666665
16	377.22999999999996	263.70666666666665
16	476.44000000000005	263.70666666666665
16	834.0400000000001	263.70666666666665
29	61.730000000000004	309.4741666666667
29	81.32	309.4741666666667
29	130.65	309.4741666666667
29	140.86	309.4741666666667
29	157.23000000000002	309.4741666666667
29	227.04	309.4741666666667
29	259.15	309.4741666666667
29	358.78000000000003	309.4741666666667
29	537.29	309.4741666666667
29	657.7	309.4741666666667
29	792.1800000000001	309.4741666666667
34	39.06	261.4533333333333
34	129.94	261.4533333333333
34	136.99	261.4533333333333
34	203.30999999999997	261.4533333333333
34	206.18	261.4533333333333
34	219.49	261.4533333333333
34	220.0	261.4533333333333
34	330.41	261.4533333333333
34	370.2	261.4533333333333
34	374.75	261.4533333333333
34	670.1600000000001	261.4533333333333
36	57.75	283.66499999999996
36	58.21	283.66499999999996
36	62.0	283.66499999999996
36	68.95	283.66499999999996
36	144.15	283.66499999999996
36	241.54000000000002	283.66499999999996
36	500.45	283.66499999999996
36	512.41	283.66499999999996
36	544.69	283.66499999999996
36	679.0999999999998	283.66499999999996
43	105.37	325.7372727272727
43	154.20999999999998	325.7372727272727
43	179.67999999999998	325.7372727272727
43	211.12	325.7372727272727
43	218.75	325.7372727272727
43	240.35	325.7372727272727
43	271.86	325.7372727272727
43	291.09999999999997	325.7372727272727
43	609.33	325.7372727272727
43	627.47	325.7372727272727
43	673.8699999999999	325.7372727272727
61	97.75999999999999	359.7208333333333
61	155.42000000000002	359.7208333333333
61	156.73000000000002	359.7208333333333
61	211.42	359.7208333333333
61	242.99	359.7208333333333
61	301.51	359.7208333333333
61	397.84999999999997	359.7208333333333
61	633.0600000000001	359.7208333333333
61	1054.57	359.7208333333333
